word,won,difficulty,game
low,True,0.0,hangman_game
tight,True,0.5,hangman_game
cold,True,0.17,hangman_game
light,True,0.0,hangman_game
thin,True,0.5,hangman_game
sharp,True,0.0,hangman_game
heavy,True,0.0,hangman_game
loose,False,1.0,hangman_game
narrow,False,1.0,hangman_game
far,True,0.0,hangman_game
deep,True,0.0,hangman_game
short,True,0.0,hangman_game
hot,True,0.0,hangman_game
near,True,0.0,hangman_game
wide,True,0.33,hangman_game
quiet,True,0.0,hangman_game
big,True,0.0,hangman_game
small,True,0.0,hangman_game
shallow,True,0.5,hangman_game
loud,True,0.0,hangman_game
long,True,0.0,hangman_game
clean,True,0.0,hangman_game
dirty,True,0.0,hangman_game
thick,True,0.0,hangman_game
clean,True,0.0,hangman_game
uncomfortable,True,0.33,hangman_game
cozy,False,1.0,hangman_game
temporary,True,0.0,hangman_game
cramped,False,1.0,hangman_game
clean,True,0.0,hangman_game
provincial,True,0.0,hangman_game
abandoned,True,0.0,hangman_game
messy,True,0.5,hangman_game
dusty,False,1.0,hangman_game
quiet,True,0.83,hangman_game
contemporary,True,0.0,hangman_game
cozy,False,1.0,hangman_game
noisy,False,1.0,hangman_game
spacious,True,0.83,hangman_game
furnished,False,1.0,hangman_game
comfortable,True,0.33,hangman_game
|uxurious,False,1.0,hangman_game
uncomfortable,True,0.33,hangman_game
