english,portuguese
',"['] dos, das, ', da"
's,"['s] do, da, de, daquele, daqueles, das, dela, delas, dele, deles, dessa, dessas, está, estão, fica, na casa de, seja, são, vai, é"
a,"[a] um, uma, algum, de, por"
a little,"[a little] um pouquinho de, um pouco de"
a lot,"[a lot] muitos, muitas, caros, muito"
a.m.,"[a.m.] da manhã, a.m."
able,"[able] capaz, apto, capazes, conseguir"
about,"[about] sobre, em, a respeito de, a respeito dos, acerca de, aproximadamente, aqui e ali, cerca, cerca de, com, da, daquilo, das, de, descansar, disso, do, em roda, em torno de, em volta, mais ou menos, na, naquelas, naquele, naquilo, nela, nele, nessa, nessas, nesse, nesta, nestas, neste, nisso, nos, pelo, por, por aí, por causa de, por causa do, que, uns"
above,"[above] acima, acima do, por cima, sobre"
abroad,"[abroad] no exterior, no estrangeiro, por todo o lado, ao exterior, fora do país, para o exterior"
accept,"[accept] aceitar, aceitam, aceita, aceitamos, aceitarem, aceitaria, aceitariam, aceitará, aceite, aceito"
access,"[access] acesso, acessar"
accident,"[accident] acidente, acaso, desastre"
account,"[account] conta, considera, considerar, considerariam, considero, importância, relato, relações"
achieve,"[achieve] alcançar, conseguir, realizar, alcançam, alcançamos, alcançou, conquistar, conquistou, cumprir, efetuam, efetuamos, efetuar, efetuou, realizam, realizamos, realizou"
across,"[across] de um lado para o outro, de lado a lado, do outro lado, através, pelo, pelos, do outro lado de, pela"
across from,[across from] em frente à
act,"[act] ato, atuo, atuar, acto, actuar, age, agem, agimos, agir, agirei, agiria, agiriam, agirá, ajo, atua, atuam, atuamos, atuarei, atuaria, atuariam, atuará, desempenha, desempenham, desempenhamos, desempenhar, desempenharei, desempenharia, desempenhariam, desempenho, finge, fingem, fingimos, fingir, fingirei, fingiria, fingiriam, finjo, funciona, funcionam, funcionamos, funcionar, funcionarei, funcionaria, funcionariam, funciono, lei, número, representa, representam, representamos, representar, representarei, representaria, representariam, represento, se comportam"
action,"[action] ação, acção, ato, atuação, combate, medida"
actions,"[actions] ações, atitudes, as ações, ação"
activities,"[activities] atividades, actividades"
activity,"[activity] atividade, actividade"
actor,"[actor] ator, actor"
actors,[actors] atores
actress,"[actress] atriz, actriz"
acts,"[acts] atua, atos, age, agir, ato, atuar, desempenha, desempenhar, finge, fingir, funciona, funcionar, lei, leis, números, representa"
actually,"[actually] de fato, na verdade, realmente, na realidade"
add,"[add] acrescentar, adicionar, (eu) adiciono, acrescenta, acrescentam, acrescentamos, acrescentaram, acrescentarei, acrescentaremos, acrescentará, acrescentei, acrescento, acrescentou, adicione, aumentar, junta"
address,"[address] endereço, dirigir-se a, discurso, endereça, endereçam, endereçar, endereçará, endereçou, morada"
adds,"[adds] acrescenta, soma, acrescentar, junta, somar"
advanced,"[advanced] avançariam, avançada, avançar, avançava, avançado, avançou"
advantage,[advantage] vantagem
advantages,"[advantages] vantagens, vantagem"
adventure,[adventure] aventura
adventures,[adventures] aventuras
advertisement,"[advertisement] anúncio, anúncios, publicidade"
